,Active,rhha_57_rescore,rhha_57_predict,rhha_96_rescore,rhha_96_predict,rrha_16_rescore,rrha_16_predict,rrha_4_rescore,rrha_4_predict,rrha_8_rescore,rrha_8_predict,rrhh_6_rescore,rrhh_6_predict
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.23113986240361017,1.0,0.0,0.0,0.36553830914488517,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.20600554569452623,1.0,0.6737715611142798,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.21829946117814303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.21829946117814303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.6670438759762406,1.0,0.0,0.0,0.6739218290603064,1.0,0.39817526243080936,1.0,0.0,0.0,0.0,0.0
7,1.0,0.6670438759762406,1.0,0.0,0.0,0.6739218290603064,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22199938315233636,1.0
9,1.0,0.6670438759762406,1.0,0.0,0.0,0.6739218290603064,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.14104720916465763,1.0,0.0,0.0,0.0,0.0,0.359827365762871,1.0,0.4190230135020564,1.0
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35961675442826724,1.0,0.4189612212709204,1.0
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35961675442826724,1.0,0.4189612212709204,1.0
13,1.0,0.0,0.0,0.0,0.0,0.6522480505253501,1.0,0.0,0.0,0.3594932865638275,1.0,0.4145507197118107,1.0
14,1.0,0.4719707300619782,1.0,0.3201758642114759,1.0,0.486784731681843,1.0,0.2617171586599718,1.0,0.0,0.0,0.0,0.0
15,1.0,0.5827390948658413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6703022182382196,1.0,0.6767973840708262,1.0
