,Active,rhha_53_rescore,rhha_53_predict,rhha_8_rescore,rhha_8_predict,rrha_4_rescore,rrha_4_predict
0,1.0,0.45961388913803214,1.0,0.3071489506321301,1.0,0.5401331800453836,1.0
1,1.0,0.533755064438073,1.0,0.2891018063435229,1.0,0.0,0.0
2,1.0,0.4598014899405626,1.0,0.36097969123067764,1.0,0.3682993972806764,1.0
3,1.0,0.358743326579142,1.0,0.32058202206521624,1.0,0.0,0.0
4,1.0,0.4291871365925122,1.0,0.11934717723145094,1.0,0.5383516311089441,1.0
5,1.0,0.4291871365925122,1.0,0.11934717723145094,1.0,0.5383516311089441,1.0
6,1.0,0.35876644264675583,1.0,0.3204849221310502,1.0,0.0,0.0
7,1.0,0.35876644264675583,1.0,0.3204849221310502,1.0,0.0,0.0
8,1.0,0.533755064438073,1.0,0.2891296353773092,1.0,0.0,0.0
9,1.0,0.35876644264675583,1.0,0.3204849221310502,1.0,0.0,0.0
10,1.0,0.33108999984247733,1.0,0.4330855857746446,1.0,0.0,0.0
11,1.0,0.3309980881073188,1.0,0.4330175745376429,1.0,0.31565579629995144,1.0
12,1.0,0.25280858714594756,1.0,0.3043347038647308,1.0,0.0,0.0
13,1.0,0.3312622200715539,1.0,0.4328506215057374,1.0,0.0,0.0
14,1.0,0.57197483509132,1.0,0.4850144887222707,1.0,0.7344953501624942,1.0
15,1.0,0.2548098197617805,1.0,0.42676149342006364,1.0,0.0,0.0
16,1.0,0.3933520078208459,1.0,0.42234472195699,1.0,0.7785746071133268,1.0
17,1.0,0.3378438597937867,1.0,0.4257997457237154,1.0,0.7785482850820294,1.0
18,1.0,0.39321936921123846,1.0,0.42237798130433013,1.0,0.778540367398959,1.0
19,1.0,0.3933520078208459,1.0,0.42234472195699,1.0,0.7785746071133268,1.0
20,1.0,0.2886879589257718,1.0,0.4374624079134466,1.0,0.5879926941360697,1.0
21,1.0,0.0,0.0,0.37690914025825617,1.0,0.5880189559568493,1.0
22,1.0,0.0,0.0,0.34860803968189447,1.0,0.5880189559568493,1.0
23,1.0,0.278163678475411,1.0,0.31923755899551387,1.0,0.587988569715611,1.0
24,1.0,0.0,0.0,0.3486224252493786,1.0,0.5880793671762203,1.0
25,1.0,0.36782170252560487,1.0,0.40009685435273445,1.0,0.0,0.0
26,1.0,0.36782170252560487,1.0,0.40009685435273445,1.0,0.0,0.0
27,1.0,0.36784158375020626,1.0,0.40011174801973237,1.0,0.0,0.0
28,1.0,0.42099502726269444,1.0,0.385765378296019,1.0,0.7784456462196165,1.0
29,1.0,0.4247452149237735,1.0,0.3584615394549381,1.0,0.7785200262790811,1.0
30,1.0,0.40195039133161736,1.0,0.4206446633254818,1.0,0.7785200262790811,1.0
31,1.0,0.36784158375020626,1.0,0.40011174801973237,1.0,0.7785200262790811,1.0
32,1.0,0.0,0.0,0.5582457919330585,1.0,0.5883945290957493,1.0
33,1.0,0.40194038541969057,1.0,0.4206259165705044,1.0,0.778481742424945,1.0
34,1.0,0.5718711191929947,1.0,0.26278832755266057,1.0,0.6916344731063903,1.0
35,1.0,0.5718711191929947,1.0,0.24948310665973117,1.0,0.6916344731063903,1.0
36,1.0,0.0,0.0,0.42676149342006364,1.0,0.0,0.0
37,1.0,0.5719144078220032,1.0,0.26282220085357944,1.0,0.743276733038326,1.0
38,1.0,0.5719144078220032,1.0,0.24948681155201924,1.0,0.743276733038326,1.0
39,1.0,0.894113250768888,1.0,0.46910522606495875,1.0,0.7011202287228976,1.0
40,1.0,0.7054366720610187,1.0,0.7124300290072954,1.0,0.47740461841162973,1.0
41,1.0,0.5163016598401434,1.0,0.8836141431743769,1.0,0.196082274220293,1.0
42,1.0,0.7053218250879798,1.0,0.7126979879883792,1.0,0.4122227993065837,1.0
43,1.0,0.7860244374105698,1.0,0.44188504369174175,1.0,0.41271703734067644,1.0
44,1.0,0.7053218250879798,1.0,0.7126979879883792,1.0,0.4120023284611385,1.0
45,1.0,0.7052303252427701,1.0,0.7126520579094141,1.0,0.19557319429360054,1.0
46,1.0,0.7052303252427701,1.0,0.7126520579094141,1.0,0.19557319429360054,1.0
47,1.0,0.7053461366410548,1.0,0.7125075035977414,1.0,0.3295416763354724,1.0
48,1.0,0.7053218250879798,1.0,0.7126979879883792,1.0,0.24010168191658599,1.0
49,1.0,0.7053218250879798,1.0,0.7126979879883792,1.0,0.24433137043031783,1.0
50,1.0,0.7053354777328678,1.0,0.7127010154146489,1.0,0.16338174138531003,1.0
51,1.0,0.7053218250879798,1.0,0.7126979879883792,1.0,0.47760212897967946,1.0
52,1.0,0.5719731573932357,1.0,0.37681285540039333,1.0,0.6230512213683435,1.0
53,1.0,0.5719638145236656,1.0,0.3769008095433113,1.0,0.6233146423830425,1.0
54,1.0,0.5719787832071705,1.0,0.3452099865731527,1.0,0.6224729495217901,1.0
55,1.0,0.22740293381374577,1.0,0.5186455743690809,1.0,0.0,0.0
56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1.0,0.7106991186921365,1.0,0.6038135006761904,1.0,0.0,0.0
59,1.0,0.7108168388487207,1.0,0.6036560109977293,1.0,0.0,0.0
60,1.0,0.7106782730422891,1.0,0.6037481887178556,1.0,0.0,0.0
