,Active,rhha_3_rescore,rhha_3_predict,rhha_6_rescore,rhha_6_predict,rhha_7_rescore,rhha_7_predict,rrha_1_rescore,rrha_1_predict
0,1.0,0.23455395578891225,1.0,0.4249184557984296,1.0,0.3647490063087723,1.0,0.3992254517325772,1.0
1,1.0,0.16202804108355795,1.0,0.4111989900157973,1.0,0.3083019352812817,1.0,0.0,0.0
2,1.0,0.0,0.0,0.44397295353608424,1.0,0.3647657126632017,1.0,0.3260743082852747,1.0
3,1.0,0.5551948086232401,1.0,0.39398246605226506,1.0,0.18252497751330532,1.0,0.0,0.0
4,1.0,0.2500042537688201,1.0,0.2850467968947784,1.0,0.0,0.0,0.6237765196109172,1.0
5,1.0,0.2500042537688201,1.0,0.2850467968947784,1.0,0.0,0.0,0.6237765196109172,1.0
6,1.0,0.3883182875470865,1.0,0.3939131459414301,1.0,0.1825624716109142,1.0,0.0,0.0
7,1.0,0.5500810327991756,1.0,0.3939131459414301,1.0,0.1825624716109142,1.0,0.0,0.0
8,1.0,0.5019099394786943,1.0,0.4111989900157973,1.0,0.30833248711238026,1.0,0.0,0.0
9,1.0,0.5552533435303311,1.0,0.3939131459414301,1.0,0.1825624716109142,1.0,0.0,0.0
10,1.0,0.0,0.0,0.42190870664536195,1.0,0.0,0.0,0.4988684571902956,1.0
11,1.0,0.0,0.0,0.42186404202218597,1.0,0.0,0.0,0.49892545968254043,1.0
12,1.0,0.0,0.0,0.3436660701539339,1.0,0.0,0.0,0.5040263500521197,1.0
13,1.0,0.40893646558915475,1.0,0.4215829617670537,1.0,0.0,0.0,0.5041243927805374,1.0
14,1.0,0.4301793570733513,1.0,0.4204825843707084,1.0,0.4245586144056227,1.0,0.0,0.0
15,1.0,0.47189249450877346,1.0,0.6042485724515935,1.0,0.3684282610979599,1.0,0.0,0.0
16,1.0,0.5808594097889501,1.0,0.6262079541566079,1.0,0.3942125809882271,1.0,0.0,0.0
17,1.0,0.5809733443877254,1.0,0.617806743438449,1.0,0.41954487242828564,1.0,0.0,0.0
18,1.0,0.5809791249411317,1.0,0.6261952271920457,1.0,0.39431058313866985,1.0,0.0,0.0
19,1.0,0.5808594097889501,1.0,0.6262079541566079,1.0,0.3942125809882271,1.0,0.0,0.0
20,1.0,0.5716155319746956,1.0,0.6550179443947471,1.0,0.40072149774859656,1.0,0.0,0.0
21,1.0,0.5717373263843171,1.0,0.625739211297789,1.0,0.4832030348347506,1.0,0.0,0.0
22,1.0,0.5717373263843171,1.0,0.5070824499612645,1.0,0.4832030348347506,1.0,0.0,0.0
23,1.0,0.5648635625559351,1.0,0.4828972539452797,1.0,0.45506307014950365,1.0,0.0,0.0
24,1.0,0.5717209100480899,1.0,0.5071278072083623,1.0,0.483167298272967,1.0,0.0,0.0
25,1.0,0.6318094687794433,1.0,0.6155667591964127,1.0,0.3674058829801401,1.0,0.0,0.0
26,1.0,0.6318094687794433,1.0,0.6155667591964127,1.0,0.3674058829801401,1.0,0.0,0.0
27,1.0,0.6316482229092868,1.0,0.6155797747542755,1.0,0.36742561620182435,1.0,0.0,0.0
28,1.0,0.5867821909357722,1.0,0.5979367098922674,1.0,0.3507614621604488,1.0,0.176294596671138,1.0
29,1.0,0.6867377895361902,1.0,0.5824481960355034,1.0,0.2952436491442948,1.0,0.33080884588691084,1.0
30,1.0,0.5809948227904946,1.0,0.6260561156013182,1.0,0.39897024999580133,1.0,0.1763108608368733,1.0
31,1.0,0.6316482229092868,1.0,0.6155797747542755,1.0,0.36742561620182435,1.0,0.1763108608368733,1.0
32,1.0,0.5719184939357042,1.0,0.5069362966939992,1.0,0.48313028261566626,1.0,0.0,0.0
33,1.0,0.5810923519392075,1.0,0.6260363950591018,1.0,0.38903023274070514,1.0,0.1761730536840862,1.0
34,1.0,0.4300384901033387,1.0,0.3851832082141887,1.0,0.40372540963278036,1.0,0.0,0.0
35,1.0,0.4300384901033387,1.0,0.3851832082141887,1.0,0.4204598065226449,1.0,0.0,0.0
36,1.0,0.0,0.0,0.6042485724515935,1.0,0.3684282610979599,1.0,0.0,0.0
37,1.0,0.5148172402926083,1.0,0.433457161984832,1.0,0.4037305357789378,1.0,0.0,0.0
38,1.0,0.6161865271150355,1.0,0.433457161984832,1.0,0.42045300095336546,1.0,0.0,0.0
39,1.0,0.8293509983271558,1.0,0.5497456208780399,1.0,0.37261424275787824,1.0,0.670215553078879,1.0
40,1.0,0.4637835428994408,1.0,0.6723554562897213,1.0,0.5293919160382173,1.0,0.44849931954918343,1.0
41,1.0,0.5262556491437916,1.0,0.9171593026458416,1.0,0.6246005902195865,1.0,0.2829765674957375,1.0
42,1.0,0.35366022301157307,1.0,0.6726135356587853,1.0,0.5296991528286756,1.0,0.5032141838406436,1.0
43,1.0,0.5615323526415827,1.0,0.5058037507643995,1.0,0.46488673853295737,1.0,0.21997605544720955,1.0
44,1.0,0.35341643824136737,1.0,0.6726135356587853,1.0,0.5296991528286756,1.0,0.5033993031593842,1.0
45,1.0,0.5263151529195327,1.0,0.6726412213761019,1.0,0.5296854147569736,1.0,0.21997605544720955,1.0
46,1.0,0.5263151529195327,1.0,0.6726412213761019,1.0,0.5296854147569736,1.0,0.21997605544720955,1.0
47,1.0,0.4248814962057851,1.0,0.6724251708114004,1.0,0.5294879458429004,1.0,0.27613896613528977,1.0
48,1.0,0.5424004735394514,1.0,0.6726135356587853,1.0,0.5296991528286756,1.0,0.38256315480249503,1.0
49,1.0,0.5379896717948739,1.0,0.6726135356587853,1.0,0.5296991528286756,1.0,0.37637987933371964,1.0
50,1.0,0.5885148546669265,1.0,0.6726284366928796,1.0,0.5296715595162166,1.0,0.3927609814989661,1.0
51,1.0,0.4044448231862068,1.0,0.6726135356587853,1.0,0.5296991528286756,1.0,0.448462223616677,1.0
52,1.0,0.7036678656434354,1.0,0.5674781304237203,1.0,0.42126702319908227,1.0,0.38968746321389003,1.0
53,1.0,0.6658339911933322,1.0,0.5675717597102531,1.0,0.3072116967524252,1.0,0.0,0.0
54,1.0,0.7038320290057065,1.0,0.4884328678640846,1.0,0.4257643718586487,1.0,0.390087590908043,1.0
55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1.0,0.5263274760578676,1.0,0.6519794128698201,1.0,0.7241058829410838,1.0,0.0,0.0
57,1.0,0.5263448721489093,1.0,0.6518079114909743,1.0,0.7241069862830186,1.0,0.0,0.0
58,1.0,0.5261509242402738,1.0,0.6518598582851053,1.0,0.7241090269773937,1.0,0.0,0.0
59,1.0,0.5263274760578676,1.0,0.6519794128698201,1.0,0.7241058829410838,1.0,0.0,0.0
60,1.0,0.526297756828491,1.0,0.8053426931451789,1.0,0.4725603840489171,1.0,0.0,0.0
61,1.0,0.5262586319528939,1.0,0.6280268422937754,1.0,0.7771371733277924,1.0,0.0,0.0
62,1.0,0.0,0.0,0.35606766500901565,1.0,0.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.3561679511810186,1.0,0.0,0.0,0.5111036384682035,1.0
64,1.0,0.0,0.0,0.35615183805506123,1.0,0.0,0.0,0.5109740120933909,1.0
65,1.0,0.0,0.0,0.3559596349167765,1.0,0.0,0.0,0.5106045915337071,1.0
66,1.0,0.0,0.0,0.3474866414249499,1.0,0.0,0.0,0.5111424679465187,1.0
67,1.0,0.0,0.0,0.5436275583399294,1.0,0.47262440717340193,1.0,0.511101719880988,1.0
68,1.0,0.3631167293929285,1.0,0.3996259946259887,1.0,0.4591895104012922,1.0,0.0,0.0
69,1.0,0.3631167293929285,1.0,0.3996259946259887,1.0,0.4591895104012922,1.0,0.0,0.0
70,1.0,0.3631167293929285,1.0,0.3996259946259887,1.0,0.4591895104012922,1.0,0.0,0.0
71,1.0,0.5260439894453408,1.0,0.7785891995284732,1.0,0.48261481688624785,1.0,0.0,0.0
72,1.0,0.5751637902389792,1.0,0.7316525197749661,1.0,0.4826360635415595,1.0,0.0,0.0
