,Active,rrha_15_rescore,rrha_15_predict,rrha_3_rescore,rrha_3_predict
0,1.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,1.0,0.36522635140810245,1.0,0.0,0.0
3,1.0,0.6734377258715236,1.0,0.0,0.0
4,1.0,0.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0,0.0
6,1.0,0.6735880403722414,1.0,0.3981511951366409,1.0
7,1.0,0.6735880403722414,1.0,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0
9,1.0,0.6735880403722414,1.0,0.0,0.0
10,1.0,0.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0,0.0
13,1.0,0.6518888235993955,1.0,0.0,0.0
14,1.0,0.48689426375747835,1.0,0.26210032317124,1.0
15,1.0,0.0,0.0,0.0,0.0
16,1.0,0.626108245692517,1.0,0.38391848418449404,1.0
17,1.0,0.626158567233427,1.0,0.32896333474034345,1.0
18,1.0,0.6261213110477939,1.0,0.38364823521739766,1.0
19,1.0,0.626108245692517,1.0,0.38391848418449404,1.0
20,1.0,0.4863553860102593,1.0,0.427520978502686,1.0
21,1.0,0.48644438981089355,1.0,0.3861324025841931,1.0
22,1.0,0.48644438981089355,1.0,0.3861324025841931,1.0
23,1.0,0.48641563764061324,1.0,0.3539936508557341,1.0
24,1.0,0.4864871405761134,1.0,0.3860891547929529,1.0
25,1.0,0.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0,0.0
28,1.0,0.6261400597277579,1.0,0.39207087604227187,1.0
29,1.0,0.6261905595279292,1.0,0.3920897832102651,1.0
30,1.0,0.6261905595279292,1.0,0.3920897832102651,1.0
31,1.0,0.6261905595279292,1.0,0.3920897832102651,1.0
32,1.0,0.4867909467867373,1.0,0.3860892176074644,1.0
33,1.0,0.6261646280483146,1.0,0.39205540273424644,1.0
34,1.0,0.4865769517863434,1.0,0.0,0.0
35,1.0,0.4865769517863434,1.0,0.0,0.0
36,1.0,0.0,0.0,0.0,0.0
37,1.0,0.40172512392531423,1.0,0.38977871169928324,1.0
38,1.0,0.40172512392531423,1.0,0.38977871169928324,1.0
39,1.0,0.6999159266408194,1.0,0.40130492332080747,1.0
40,1.0,0.5429436207689824,1.0,0.4747438290735898,1.0
41,1.0,0.3841669956249095,1.0,0.061871561095241834,1.0
42,1.0,0.4761311163557549,1.0,0.4749531165571734,1.0
43,1.0,0.6546024014206885,1.0,0.5503700617494914,1.0
44,1.0,0.47585343036984584,1.0,0.4749531165571734,1.0
45,1.0,0.38361349013241663,1.0,0.4747754038347568,1.0
46,1.0,0.38361349013241663,1.0,0.4747754038347568,1.0
47,1.0,0.5104446295591143,1.0,0.4747013350564889,1.0
48,1.0,0.4092471824078996,1.0,0.4749531165571734,1.0
49,1.0,0.41412453405912675,1.0,0.4749531165571734,1.0
50,1.0,0.33782508223991026,1.0,0.4749317177468865,1.0
51,1.0,0.5430645015198908,1.0,0.4749531165571734,1.0
52,1.0,0.5116563835889323,1.0,0.45796261822567863,1.0
53,1.0,0.5120200744255485,1.0,0.4578990918162751,1.0
54,1.0,0.5112672016779355,1.0,0.3102329791282348,1.0
55,1.0,0.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0,0.0
58,1.0,0.0,0.0,0.17456089960598442,1.0
59,1.0,0.0,0.0,0.17479174293613386,1.0
60,1.0,0.0,0.0,0.1747629529516479,1.0
61,1.0,0.0,0.0,0.17456089960598442,1.0
62,1.0,0.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.1745355644196369,1.0
64,1.0,0.43396386709937385,1.0,0.06212240037825212,1.0
65,1.0,0.4341694944003208,1.0,0.06223787438875328,1.0
66,1.0,0.434075992174796,1.0,0.37977184701538247,1.0
67,1.0,0.4339311827395038,1.0,0.06206377350075387,1.0
68,1.0,0.43415405924545125,1.0,0.0,0.0
69,1.0,0.43406942803964077,1.0,0.0,0.0
70,1.0,0.5533587012340595,1.0,0.5505379125935861,1.0
71,1.0,0.5533587012340595,1.0,0.5505379125935861,1.0
72,1.0,0.5533587012340595,1.0,0.5505379125935861,1.0
73,1.0,0.0,0.0,0.17492731759034852,1.0
74,1.0,0.24954576918734972,1.0,0.44641507060837904,1.0
75,1.0,0.0,0.0,0.1749740097106418,1.0
76,1.0,0.0,0.0,0.0,0.0
77,1.0,0.4865769517863434,1.0,0.0,0.0
78,1.0,0.4866842638617076,1.0,0.4276371644109853,1.0
79,1.0,0.4863553860102593,1.0,0.25691020086625604,1.0
80,1.0,0.4864871405761134,1.0,0.3860891547929529,1.0
81,1.0,0.0,0.0,0.0,0.0
82,1.0,0.4866440087261473,1.0,0.25663046690790714,1.0
83,1.0,0.6261400597277579,1.0,0.39207087604227187,1.0
84,1.0,0.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.4565768882233249,1.0
87,1.0,0.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0,0.0
89,1.0,0.3538115091183701,1.0,0.0,0.0
90,1.0,0.3538115091183701,1.0,0.0,0.0
91,1.0,0.0,0.0,0.38671671364023075,1.0
92,1.0,0.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0.22773024295428201,1.0
97,1.0,0.0,0.0,0.0,0.0
98,1.0,0.0,0.0,0.17472432202701071,1.0
99,1.0,0.0,0.0,0.1749740097106418,1.0
100,1.0,0.0,0.0,0.1748762284542431,1.0
101,1.0,0.0,0.0,0.1748762284542431,1.0
102,1.0,0.34545745174778697,1.0,0.0,0.0
103,1.0,0.6143222885922232,1.0,0.5957352359541804,1.0
104,1.0,0.7934793265499323,1.0,0.9738286582812992,1.0
105,1.0,0.793493199314805,1.0,0.5960588458488857,1.0
106,1.0,0.48645013605061405,1.0,0.0,0.0
107,1.0,0.5282042013107424,1.0,0.49863677329642875,1.0
108,1.0,0.5282042013107424,1.0,0.49863677329642875,1.0
109,1.0,0.48645013605061405,1.0,0.0,0.0
110,1.0,0.48645013605061405,1.0,0.3092360604836325,1.0
111,1.0,0.0,0.0,0.0,0.0
112,1.0,0.6143222885922232,1.0,0.5957352359541804,1.0
113,1.0,0.614335228117433,1.0,0.5959355409626045,1.0
114,1.0,0.40488577597420417,1.0,0.5962268327910888,1.0
115,1.0,0.7854479499000039,1.0,0.5960307049476865,1.0
116,1.0,0.6143222885922232,1.0,0.5957352359541804,1.0
117,1.0,0.0,0.0,0.7703446283631242,1.0
118,1.0,0.5421689269906059,1.0,0.32666343374334206,1.0
119,1.0,0.3208169571618038,1.0,0.770400418118515,1.0
120,1.0,0.0,0.0,0.0,0.0
121,1.0,0.0,0.0,0.0,0.0
122,1.0,0.4864588812402617,1.0,0.40118236173958044,1.0
123,1.0,0.4862595769001751,1.0,0.44865999843864046,1.0
124,1.0,0.5113859538035462,1.0,0.45784150137821833,1.0
125,1.0,0.5113859538035462,1.0,0.45784150137821833,1.0
126,1.0,0.5113859538035462,1.0,0.5359258752749404,1.0
127,1.0,0.5112276386077431,1.0,0.5358756446038266,1.0
128,1.0,0.5113781313677223,1.0,0.45748431712706006,1.0
129,1.0,0.5112276386077431,1.0,0.4686415458383296,1.0
130,1.0,0.0,0.0,0.0,0.0
131,1.0,0.0,0.0,0.0,0.0
132,1.0,0.0,0.0,0.0,0.0
133,1.0,0.6738249888740006,1.0,0.0,0.0
134,1.0,0.0,0.0,0.0,0.0
135,1.0,0.0,0.0,0.0,0.0
136,1.0,0.0,0.0,0.0,0.0
137,1.0,0.0,0.0,0.0,0.0
138,1.0,0.6737064779226849,1.0,0.0,0.0
139,1.0,0.0,0.0,0.0,0.0
140,1.0,0.6737064779226849,1.0,0.0,0.0
141,1.0,0.6734496063270042,1.0,0.0,0.0
142,1.0,0.5116823884694193,1.0,0.31019097715814137,1.0
143,1.0,0.5117688232395214,1.0,0.45767332599248045,1.0
144,1.0,0.5117688232395214,1.0,0.3988211851865081,1.0
145,1.0,0.5117688232395214,1.0,0.45767332599248045,1.0
